sample	GENE	f	tau	XCI	tpm	xa_tpm	xi_tpm
HG00146	ACSL4	0.019868420227516	0.316226847316608	E	47.722095	32.6310873508064	15.0910076491936
HG00146	AKAP17A	0.019868420227516	0.419893753958521	E	74.502266	43.2192298508437	31.2830361491563
HG00146	ASMTL	0.019868420227516	0.45266449097549	E	74.109528	40.5627762314462	33.5467517685538
HG00146	ATP6AP1	0.019868420227516	0	S	58.754475	58.754475	0
HG00146	ATP6AP2	0.019868420227516	0	S	58.020611	58.020611	0
HG00146	BTK	0.019868420227516	0	S	114.809341	114.809341	0
HG00146	CFP	0.019868420227516	0	S	29.259455	29.259455	0
HG00146	CXorf21	0.019868420227516	0.317054654310677	E	33.838573	23.1098959351184	10.7286770648816
HG00146	CXorf38	0.019868420227516	0.132776103673011	E	52.712753	45.7137590427822	6.99899395721781
HG00146	DDX3X	0.019868420227516	0.374732406552528	E	197.661682	123.591444220919	74.0702377790806
HG00146	DHRSX	0.019868420227516	0.432083834877877	E	14.883836	8.4527710634266	6.4310649365734
HG00146	DNASE1L1	0.019868420227516	0.0739804187794088	E	13.373905	12.384497907384	0.989407092616029
HG00146	EDA2R	0.019868420227516	0.0209646486719574	S	15.780418	15.4495870807334	0.330830919266633
HG00146	ELF4	0.019868420227516	0	S	45.561947	45.561947	0
HG00146	FAM3A	0.019868420227516	0	S	27.271683	27.271683	0
HG00146	FLNA	0.019868420227516	0	S	127.295799	127.295799	0
HG00146	FMR1	0.019868420227516	0.0626198966135263	E	17.968727	16.8435271729833	1.12519982701668
HG00146	G6PD	0.019868420227516	0	S	43.065331	43.065331	0
HG00146	GDI1	0.019868420227516	0	S	144.232574	144.232574	0
HG00146	GPR174	0.019868420227516	0.219628138854825	E	18.184359	14.190562076562	3.99379692343798
HG00146	GTPBP6	0.019868420227516	0.395861880146078	E	56.300243	34.013122953339	22.2871200466611
HG00146	HAUS7	0.019868420227516	0.0266449097548986	S	18.53253	18.0387324106201	0.493797589379952
HG00146	HCFC1	0.019868420227516	0.0881104214732924	E	22.599276	20.6080442666487	1.99123173335126
HG00146	HNRNPH2	0.019868420227516	0	S	74.435341	74.435341	0
HG00146	HUWE1	0.019868420227516	0.00297715524264356	S	88.87529	88.6106944644351	0.264595535564967
HG00146	IDS	0.019868420227516	0	S	87.92495	87.92495	0
HG00146	IL3RA	0.019868420227516	0.471072744485022	E	46.258286	24.467268258807	21.791017741193
HG00146	IRAK1	0.019868420227516	0.009349242995943	S	51.48267	51.0013460080901	0.481323991909945
HG00146	ITM2A	0.019868420227516	0.0010048423666223	S	49.971409	49.921195611117	0.0502133888830111
HG00146	KDM6A	0.019868420227516	0.489790380406478	E	23.292818	11.8842198110411	11.4085981889589
HG00146	LAMP2	0.019868420227516	0.0341189374956108	S	53.456669	51.6327842516655	1.82388474833455
HG00146	MSL3	0.019868420227516	0.384064983756376	E	200.221588	123.323487057104	76.8981009428957
HG00146	PGK1	0.019868420227516	0.0313784606573496	S	856.240967	829.37344350378	26.8675234962205
HG00146	PHF6	0.019868420227516	0.025593009554354	S	32.289948	31.4635510523264	0.826396947673593
